34,United Arab Emirates,..,..,1.2,..,0.8,..,0.6,..,0.8,..,0.6,..,0.7,..,0.7,..,0.9,..
14,United Kingdom,1.6,..,1.4,..,1.2,..,1,..,1,..,0.9,..,0.9,..,1,..,1.2,..
13,United States,5.5,..,5.7,..,4.8,..,4.7,..,4.7,..,4.5,..,4.5,..,5,..,5.4,..
55,Uruguay,6.4,..,5.7,..,6.1,..,5.9,..,7.9,..,7.6,..,7.8,..,8.5,..,7.7,..
105,Uzbekistan,4.3,..,3.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
138,Vanuatu,2.9,..,2.5,..,2.3,..,..,..,..,..,..,..,..,..,2.1,..,..,..
78,Venezuela (Bolivarian Republic of),32.8,..,37.2,..,45.1,..,47.8,..,53.8,..,..,..,61.9,..,..,..,56.3,..
116,Viet Nam,..,..,1.2,..,1.5,..,1.5,..,..,..,..,..,..,..,..,..,..,..
178,Yemen,3.9,..,4.6,..,4.7,..,5.7,..,6.5,..,6.7,..,..,..,..,..,..,..
144,Zambia,7.6,..,..,..,5.9,..,6,..,6,..,5.7,..,5.3,..,5.3,..,..,..
156,Zimbabwe,..,..,10.4,..,5,..,..,..,6.7,..,..,..,..,..,..,..,..,..
106,Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
167,Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
